Log Name: DT
Description: Delta-T {F13.4}
Type: Sonic
Curve UOM: US/F
Depth UOM: Meters
Source: <SeisWare.seisware_sdk_311.ID; proxy of <Swig Object of type 'SeisWare::UserKey *' at 0x000001BC29537780> >
Null Value: -999.2500
Top Depth: 1308.0492
Base Depth: 1758.0864
Depth Increment: 0.1524
Depth,Value
1455.2676,64.6692
1455.4200,64.4689
1455.5724,64.9897
1455.7248,65.4534
1455.8772,65.5371
1456.0296,64.3170
1456.1820,62.5136
1456.3344,61.5424
1456.4868,61.1180
1456.6392,62.2799
1456.7916,62.1681
1456.9440,61.9305
1457.0964,61.6731
1457.2488,61.4787
1457.4012,62.3398
1457.5536,63.2982
1457.7060,63.0527
1457.8584,63.1962
1458.0108,62.8485
1458.1632,61.8817
1458.3156,61.2458
1458.4680,61.2311
1458.6204,61.7825
1458.7728,61.2455
1458.9252,60.5324
1459.0776,60.5420
1459.2300,60.5347
1459.3824,59.9042
1459.5348,59.3179
1459.6872,58.8662
1459.8396,58.6262
1459.9920,58.8089
1460.1444,59.7409
1460.2968,61.5862
1460.4492,63.6352
1460.6016,64.1817
1460.7540,64.2927
1460.9064,64.8716
1461.0588,66.2748
1461.2112,69.0643
1461.3636,70.7948
1461.5160,71.3367
1461.6684,69.7069
1461.8208,66.9196
1461.9732,64.1313
1462.1256,62.6493
1462.2780,63.0240
1462.4304,63.0607
1462.5828,63.4030
1462.7352,63.7539
1462.8876,64.7576
1463.0400,65.7910
1463.1924,67.2184
1463.3448,65.9934
1463.4972,65.5698
1463.6496,63.5562
1463.8020,61.8023
1463.9544,61.0020
1464.1068,59.1449
1464.2592,58.9123
1464.4116,60.0070
1464.5640,60.6410
1464.7164,60.8203
1464.8688,61.1147
1465.0212,60.9387
1465.1736,61.0159
1465.3260,62.8918
1465.4784,65.2112
1465.6308,66.1452
1465.7832,67.9548
1465.9356,69.0034
1466.0880,68.6857
1466.2404,66.9834
1466.3928,65.3414
1466.5452,63.0462
1466.6976,62.7784
1466.8500,62.5015
1467.0024,61.6544
1467.1548,61.9737
1467.3072,62.4536
1467.4596,62.7804
1467.6120,62.8941
1467.7644,62.0440
1467.9168,62.2163
1468.0692,62.2475
1468.2216,61.2649
1468.3740,61.0566
1468.5264,60.8788
1468.6788,61.7850
1468.8312,63.0788
1468.9836,63.2846
1469.1360,63.1073
1469.2884,62.8306
1469.4408,64.9903
1469.5932,68.5520
1469.7456,68.6543
1469.8980,69.5184
1470.0504,68.1619
1470.2028,66.8791
1470.3552,65.4481
1470.5076,64.4834
1470.6600,64.2741
1470.8124,62.8168
1470.9648,62.7590
1471.1172,62.6101
1471.2696,62.0523
1471.4220,62.6930
1471.5744,63.2414
1471.7268,63.4407
1471.8792,63.5764
1472.0316,62.5423
1472.1840,61.9757
1472.3364,60.9594
1472.4888,60.5807
1472.6412,60.6004
1472.7936,61.3221
1472.9460,61.7908
1473.0984,62.3579
1473.2508,61.8657
1473.4032,61.2766
1473.5556,61.4695
1473.7080,63.5919
1473.8604,65.1996
1474.0128,67.2588
1474.1652,67.7611
1474.3176,68.4783
1474.4700,69.8431
1474.6224,69.4347
1474.7748,67.7906
1474.9272,66.5325
1475.0796,65.5845
1475.2320,65.8485
1475.3844,65.6491
1475.5368,65.7601
1475.6892,65.3760
1475.8416,65.8123
1475.9940,66.9708
1476.1464,68.1628
1476.2988,68.6041
1476.4512,68.6607
1476.6036,67.5247
1476.7560,67.6228
1476.9084,67.6645
1477.0608,67.4237
1477.2132,68.6920
1477.3656,69.9866
1477.5180,71.0272
1477.6704,70.8696
1477.8228,69.4345
1477.9752,67.6477
1478.1276,67.3783
1478.2800,68.4405
1478.4324,69.2281
1478.5848,68.5653
1478.7372,66.2993
1478.8896,63.8837
1479.0420,64.8310
1479.1944,66.8442
1479.3468,66.5970
1479.4992,66.8132
1479.6516,64.3647
1479.8040,63.4671
1479.9564,62.9786
1480.1088,62.9218
1480.2612,62.7148
1480.4136,61.9771
1480.5660,61.5304
1480.7184,60.7834
1480.8708,60.0345
1481.0232,60.4046
1481.1756,61.1033
1481.3280,61.3615
1481.4804,61.1354
